Timestamp,Plate,Action
2024-07-20 05:27:23,30A1-56789,entry
2024-07-20 05:29:06,30A1-56789,entry
2024-07-20 05:31:05,30A1-56789,entry
2024-07-20 05:31:19,30K-55055,exit
2024-07-20 05:35:40,30K-55055,entry
2024-07-20 05:36:06,30K-55055,entry
2024-07-20 05:38:50,3DK-55055,exit
2024-07-20 05:38:54,30DK-55055,exit
2024-07-20 05:38:58,30K-55055,exit
2024-07-24 23:56:19,98B2-93240,exit
2024-07-24 23:56:31,98B2-93240,entry
2024-07-24 23:56:46,98B2-93240,exit
2024-07-24 23:56:53,98B2-93240,entry
2024-07-24 23:57:01,98B2-93240,exit
